time,s,e,i_s,i_a,r,d,v,x_vac_counter,cost,control
0.15,0.488787207944905,0.0015676700784534,3.70833535288251e-05,0.00160704892593183,0.506357192013394,0.00149719445575857,0.000146603228098596,0.000299509219090131,0.00045476911112266,0.001
0.3,0.48880025543568,0.00157273654307049,3.71938119050981e-05,0.00161202005853049,0.506187395964585,0.00149725114276314,0.000293147043473632,0.000598984415854895,0.000909581735239047,0.001
0.45,0.488813132213717,0.00157781336142283,3.73047555200965e-05,0.00161701271387006,0.506017797545306,0.00149730799874573,0.000439631411419482,0.000898415607927139,0.00136442799595091,0.001
0.6,0.488825837722691,0.00158290090211027,3.74161818495773e-05,0.0016220266579269,0.505848397218769,0.00149736502443795,0.000586056292215022,0.00119780281295114,0.0018193080166593,0.001
0.75,0.488838371412171,0.00158799951766737,3.75280885532004e-05,0.00162706167284211,0.505679195442277,0.00149742222057406,0.000732421645915312,0.00149714604858362,0.00227422192061907,0.001
0.9,0.488850732737229,0.00159310954539578,3.76404734601155e-05,0.00163211755606505,0.505510192667616,0.00149747958788556,0.000878727432348666,0.00179644533249378,0.00272916983096642,0.001
1.05,0.488862921158085,0.00159823130815493,3.7753334560158e-05,0.00163719411954639,0.505341389341434,0.0014975371271008,0.00102497361111863,0.0020957006823633,0.00318415187074295,0.001
1.2,0.488874936139761,0.00160336511511194,3.78666699960279e-05,0.00164229118897394,0.505172785905606,0.00149759483894523,0.00117116014160633,0.00239491211588638,0.00363916816291827,0.001
1.35,0.48888677715176,0.00160851126245271,3.7980478055838e-05,0.00164740860304838,0.505004382797569,0.00149765272414155,0.00131728698297264,0.00269407965076978,0.00409421883041153,0.001
1.5,0.488898443667763,0.0016136700340562,3.80947571661109e-05,0.00165254621279693,0.504836180450648,0.00149771078340991,0.00146335409416021,0.00299320330473278,0.0045493039961119,0.001
1.65,0.488909935165333,0.00161884170213391,3.82095058852198e-05,0.00165770388092308,0.504668179294361,0.00149776901746826,0.0016093614338955,0.00329228309550728,0.00500442378289812,0.001
1.8,0.488921251125644,0.00162402652783606,3.83247228969246e-05,0.00166288148119004,0.50450037975471,0.00149782742703235,0.0017553089606904,0.00359131904083777,0.00545957831365716,0.001
1.95,0.488932391033218,0.00162922476182656,3.84404070045011e-05,0.00166807889783678,0.504332782254454,0.00149788601281609,0.00190119663284394,0.00389031115848139,0.00591476771130197,0.001
2.1,0.488943354375679,0.00163443664482814,3.85565571249596e-05,0.00167329602502446,0.504165387213368,0.00149794477553157,0.00204702440844373,0.00418925946620796,0.0063699920987884,0.001
2.25,0.488954140643516,0.00163966240813932,3.86731722837147e-05,0.00167853276631193,0.503998195048492,0.00149800371588938,0.0021927922453674,0.00448816398179999,0.00682525159913142,0.001
