beta_a,beta_s,rho,eps_1,eps_2,R_0,ba*eps1,bs*eps1,ba*eps1*eps2,bs*eps1*eps2,ba*eps2,bs*eps2
0.521166849380918,0.529088985403414,0.223744329626152,0.696842536309992,0.363544995478551,3.69306793227441,0.363171229163287,0.368691710522195,0.132029082864107,0.134036026234771,0.189467599901757,0.192347652806235
0.639938502852357,0.568037218626041,0.240858501312676,0.582438713343065,0.365846586873517,4.37705980319828,0.372724958220014,0.330846866747525,0.136360153807366,0.121039196977379,0.234119317077483,0.207814477651463
0.651495925537858,0.604738721906243,0.229989910945979,0.55585598605419,0.373086863850078,4.49616384279985,0.362137910100133,0.336147638570345,0.13510889716048,0.12541226826482,0.243064571670023,0.225620073204705
0.645823007547136,0.393759667381627,0.222082437334687,0.620706561713295,0.385926851994064,3.94272623127595,0.400866578489922,0.24440920928182,0.154705176706247,0.094324076736491,0.249240440248005,0.151962428874821
0.553976899219054,0.606516903472557,0.226131070355807,0.61937441885541,0.373340148999006,4.03995712422606,0.343119120013124,0.375661054614298,0.128100143390107,0.140249354102826,0.206821818096449,0.22643711111286
0.603721830146941,0.526964415693122,0.245478779545935,0.61787498890197,0.368804344140869,4.11577801779415,0.373024619101918,0.325598132498121,0.13757309999628,0.120082005709461,0.222655233610868,0.194346765715278
0.620914602566886,0.408507822074169,0.240484098762108,0.643950426374517,0.375640534814388,3.87550930266204,0.39983822306511,0.263058786201986,0.150195443951413,0.098815543136538,0.233240693382288,0.153452096759802
0.522330021307243,0.533579575215547,0.21259338596827,0.677372886002554,0.377586898162807,3.67978902855081,0.353812193978663,0.361432336775772,0.133594848856581,0.136472114938899,0.197224972562715,0.201472656728667
0.571276627586356,0.494676476813297,0.148470482670217,0.658341361325423,0.389681643557204,3.69634656571893,0.376095032698598,0.32566598516093,0.14655733047569,0.126906056348187,0.222616015163668,0.192766342513693
0.524869935765172,0.583213344194221,0.238872212142029,0.668424232611292,0.359695639276778,3.88898197000102,0.350835784034573,0.389833932041687,0.126194101619485,0.140221565397515,0.188793427082215,0.209779296674688
0.547367783852021,0.676144737650603,0.24738292602395,0.605715411478956,0.361091483566391,4.26535330108595,0.331549102426251,0.409551287985366,0.1197195572702,0.147885482175162,0.197649845127574,0.244150106423864
0.60551256941332,0.598309257783279,0.233258177309133,0.600348213636681,0.365209139581643,4.27821252668479,0.363518389381843,0.35919389411248,0.132760238208248,0.131180893011799,0.221138724481308,0.218508009238763
0.637880886460987,0.589484164828171,0.243728459637494,0.570115376845929,0.371386817978637,4.43089723538064,0.363665701967521,0.33607398677572,0.135060647861685,0.124813448554029,0.236900552672138,0.218926648224329
0.461608293560732,0.49193172362184,0.243282874813928,0.778820497223756,0.355983289083547,3.37737903374995,0.359510000713579,0.383126509591301,0.127979552512448,0.13638663501941,0.164324838609993,0.175119472979441
0.643122388884027,0.579833920980794,0.179117091555499,0.577383927634629,0.38194489988312,4.27237411343236,0.371328530843625,0.334786786671678,0.141827038536814,0.127870105717506,0.245637316434903,0.221464608897846
0.595920164963616,0.538485058871252,0.178666371560918,0.615741490281614,0.387999614664218,3.96012038325522,0.366932770463562,0.331567592643767,0.142369773547536,0.128648098180924,0.23121679437652,0.208931995344485
0.559453543355231,0.505164276575986,0.189486412511135,0.657974147064666,0.38352142636384,3.74000061279287,0.368105968011463,0.332385034007623,0.141176525904798,0.127476782344597,0.214562420931903,0.19374132390048
0.589994341907722,0.509576582698006,0.20326230028398,0.654105974616031,0.366087208203998,3.92408493459077,0.385918824031494,0.333317087267186,0.14127994488306,0.122023121924332,0.215989381485153,0.186549468526047
0.591164190621263,0.37159464983935,0.221517361920145,0.695501311012458,0.370595614226328,3.63553774096641,0.411155469600707,0.258444566128483,0.152372413799188,0.095778422727842,0.219082856331897,0.137711347500431
0.485440544245956,0.653408247838277,0.236387549394814,0.689482411992669,0.347773285796185,3.88069866238842,0.334702717325736,0.450513494735439,0.116400663769283,0.156676558359666,0.168823253131104,0.227237933317046
0.555425840117864,0.586112001185705,0.205348909042963,0.638348286596896,0.374381445009725,3.93409048728394,0.35455513337088,0.374143591710773,0.132738863167006,0.140072418505808,0.207941128619066,0.219429457941446
0.551933585428196,0.662249670273906,0.195859158562548,0.626735306719521,0.370651305902669,4.04979855679344,0.345916264952145,0.415055250224018,0.128214315337486,0.153840770517291,0.204574904210503,0.245463705120635
0.550159213343431,0.483915307462711,0.247224057400629,0.656678952803833,0.378788493722571,3.76383932936021,0.361277976093745,0.317776997350358,0.136847940379689,0.120370270166024,0.208393979729953,0.183301550403095
0.526956836914466,0.472074998286037,0.227626387877289,0.696901285768714,0.373024536430388,3.58966691071822,0.367236897190306,0.328989673284803,0.136988373334548,0.122721220367448,0.196567829808842,0.176095557396025
0.565635328247551,0.52186395719126,0.215029572838008,0.656057838405464,0.370250855001356,3.86187566242794,0.371089490775853,0.34237293969662,0.137396201241778,0.126763873652001,0.209426963902628,0.193220576344455
0.545385853216594,0.452889919152253,0.196117873731936,0.717759023258916,0.367247368924132,3.57581372149264,0.391455617303973,0.325065826014531,0.143761045505456,0.119379569330986,0.200291519642237,0.166322631220928
0.661671944917328,0.512035161179334,0.173013288654605,0.571662779402232,0.390864638388241,4.22238253110738,0.37825322308392,0.292711443391448,0.147845809259883,0.114410552473298,0.258624165481756,0.200136438116425
0.488634720413241,0.46714307354312,0.245288110156209,0.758253481588858,0.358257179184729,3.43854270635007,0.370508977978538,0.354212861914191,0.132737501313208,0.126899300740328,0.175056896586966,0.167357359803243
