"S0","E0","Is0","Ia0","R0","D0"
26446414.1203789,13.6730218856715,4.18734220255819,3.01925705567588,1e-10,1e-10
26446427.153395,4.86843374281663,1.25393222516008,1.72423899833687,1e-10,1e-10
26446428.1536769,3.39428187719874,1.75232913185779,1.6997121050464,1e-10,1e-10
26446422.3973917,7.13094532262416,2.0413858705943,3.43027713404486,1e-10,1e-10
26446422.6876393,4.03989954180897,4.3167607656222,3.95570040964486,1e-10,1e-10
26446426.1703772,2.48096713506252,1.53344047112007,4.81521523170693,1e-10,1e-10
26446424.6104175,1.18520321991857,2.03926696385572,7.16511228541821,1e-10,1e-10
26446416.2677168,1.60824654408118,3.14213985200674,13.9818968235245,1e-10,1e-10
26446413.3610188,4.46674942288063,4.88346444592428,12.2887673604662,1e-10,1e-10
26446419.6133824,9.23334717984412,2.65952140189875,3.49374900859244,1e-10,1e-10
26446425.5671856,4.62363185669121,1.86238634101059,2.94679616852043,1e-10,1e-10
26446427.8107488,1.82241244435101,1.53894092250238,3.82789780631107,1e-10,1e-10
26446429.1734831,1.48106725047253,2.38825580799758,1.95719379694692,1e-10,1e-10
26446405.8242134,14.6241246512781,1.5353885143334,13.0162734225255,1e-10,1e-10
26446426.6223585,2.43095528031774,4.32884543054631,1.61784083479637,1e-10,1e-10
26446418.155624,10.8216528653652,4.79404910236461,1.22867400269521,1e-10,1e-10
26446417.2457828,4.0583864709643,4.11019206166312,9.58563862167144,1e-10,1e-10
26446424.2442087,1.44683125315904,1.34797506781542,7.96098495431343,1e-10,1e-10
26446416.3815379,10.8439735463711,4.95539708040666,2.81909142745116,1e-10,1e-10
26446417.5106815,13.4094626091537,1.64776955346735,2.43208637884553,1e-10,1e-10
26446416.9565005,12.3852553985065,1.36347426888777,4.2947698728262,1e-10,1e-10
26446422.8276428,3.4127024022706,2.44693689862577,6.31271792873253,1e-10,1e-10
26446417.7968762,5.27267233945441,2.94801173152516,8.98243969499172,1e-10,1e-10
