Time,Is,D
33.58,14.3172,194.8932
33.726,14.3046,194.9144
33.872,14.2921,194.9357
34.018,14.2795,194.9569
34.164,14.267,194.9781
34.31,14.2544,194.9993
34.456,14.2419,195.0205
34.602,14.2293,195.0416
34.748,14.2168,195.0628
34.894,14.2042,195.0839
35.04,14.1916,195.105
35.186,14.1791,195.126
35.332,14.1665,195.1471
35.478,14.154,195.1681
35.624,14.1415,195.1891
35.77,14.1289,195.2101
35.916,14.1164,195.2311
36.062,14.1039,195.2521
36.208,14.0914,195.273
36.354,14.0789,195.294
36.5,14.0664,195.3149
36.646,14.054,195.3358
36.792,14.0415,195.3566
36.938,14.0291,195.3775
37.084,14.0166,195.3983
37.23,14.0042,195.4191
37.376,13.9918,195.4399
37.522,13.9795,195.4607
37.668,13.9671,195.4815
37.814,13.9548,195.5022
37.96,13.9424,195.5229
38.106,13.9301,195.5436
38.252,13.9178,195.5643
38.398,13.9056,195.585
38.544,13.8933,195.6056
38.69,13.8811,195.6263
38.836,13.8689,195.6469
38.982,13.8567,195.6675
39.128,13.8446,195.6881
39.274,13.8324,195.7086
39.42,13.8203,195.7292
39.566,13.8083,195.7497
39.712,13.7962,195.7702
39.858,13.7842,195.7907
40.004,13.7722,195.8111
40.15,13.7602,195.8316
40.296,13.7483,195.852
40.442,13.7364,195.8724
40.588,13.7245,195.8928
40.734,13.7126,195.9132
40.88,13.7008,195.9336
41.026,13.689,195.9539
41.172,13.6772,195.9743
41.318,13.6655,195.9946
41.464,13.6538,196.0149
41.61,13.6421,196.0351
41.756,13.6305,196.0554
41.902,13.6189,196.0756
42.048,13.6073,196.0959
42.194,13.5958,196.1161
42.34,13.5843,196.1363
42.486,13.5728,196.1564
42.632,13.5613,196.1766
42.778,13.5499,196.1967
42.924,13.5386,196.2169
43.07,13.5272,196.237
43.216,13.516,196.257
43.362,13.5047,196.2771
43.508,13.4935,196.2972
43.654,13.4823,196.3172
43.8,13.4711,196.3372
43.946,13.46,196.3572
44.092,13.449,196.3772
44.238,13.4379,196.3972
44.384,13.4269,196.4172
44.53,13.416,196.4371
44.676,13.405,196.457
44.822,13.3942,196.4769
44.968,13.3833,196.4968
45.114,13.3725,196.5167
45.26,13.3618,196.5366
45.406,13.351,196.5564
45.552,13.3404,196.5762
45.698,13.3297,196.596
45.844,13.3191,196.6158
45.99,13.3085,196.6356
46.136,13.298,196.6554
46.282,13.2875,196.6751
46.428,13.2771,196.6949
46.574,13.2667,196.7146
46.72,13.2564,196.7343
46.866,13.2461,196.754
47.012,13.2358,196.7736
47.158,13.2256,196.7933
47.304,13.2154,196.8129
47.45,13.2052,196.8326
47.596,13.1951,196.8522
47.742,13.1851,196.8718
47.888,13.1751,196.8913
48.034,13.1651,196.9109
48.18,13.1552,196.9305
48.326,13.1453,196.95
48.472,13.1354,196.9695
48.618,13.1256,196.989
48.764,13.1159,197.0085
48.91,13.1062,197.028
49.056,13.0965,197.0475
49.202,13.0869,197.0669
49.348,13.0773,197.0863
49.494,13.0678,197.1058
49.64,13.0583,197.1252
49.786,13.0488,197.1446
49.932,13.0394,197.1639
50.078,13.0301,197.1833
50.224,13.0208,197.2027
50.37,13.0115,197.222
50.516,13.0023,197.2413
50.662,12.9931,197.2606
