time,s,e,i_s,i_a,r,d,v,x_vac_counter,cost,control
0.2469489151374325,0.487047237319262,0.00323041740908706,3.71299635468894e-05,0.00160847923585432,0.506371802159289,0.00149784233892539,0.000207091577275838,0.000424685896732932,0.000749123429056825,0.0017225534709199
0.493897830274865,0.485329934291182,0.00487495909048342,3.79686220803039e-05,0.00166403578428704,0.506217774206244,0.00149855596405163,0.000376772041997126,0.0007757344466964141,0.00149860392673315,0.00142414607888183
0.7408467454122974,0.48357003733326,0.00654757469014116,3.94749053170614e-05,0.0017668410227827,0.506067103907606,0.00149929187245143,0.000509676268480826,0.00105377435577112,0.00224863863952127,0.00112813519600462
0.98779566054973,0.481706679374032,0.00829609618330066,4.16552491207931e-05,0.00191652528326396,0.505921745276498,0.00150006281320419,0.000617235820591158,0.00128188616071346,0.00299944932748332,0.000925667944288524
1.234744575687162,0.479685320215293,0.0101664321503841,4.4535346345396e-05,0.00211413299676166,0.505783665530695,0.00150088184099734,0.0007050319195308729,0.00147137085154194,0.00375124470922148,0.000768998602713667
1.481693490824595,0.477453492238762,0.0122038911972732,4.81591891637016e-05,0.0023620275223563,0.505654901862015,0.00150176267273271,0.000775765317702875,0.00162770605707963,0.00450423963487272,0.000634518807392582
1.728642405962028,0.474956444187668,0.0144542926233193,5.25886370827125e-05,0.00266383617529684,0.505537615063303,0.00150272003117491,0.000832503282161156,0.00175722906812604,0.00525866729045348,0.000525732154254729
1.97559132109946,0.472136785322192,0.0169648926635871,5.79034163365948e-05,0.00302442789139266,0.505434141527159,0.00150376998451299,0.00087807919482514,0.00186589610937568,0.00601478370976994,0.000441103271049225
2.222540236236892,0.468934087075217,0.0197851384658797,6.42014670619729e-05,0.00344991687681228,0.505347044834845,0.00150493028921771,0.000914680990970827,0.00195841312768878,0.0067728732290908,0.000375564869133353
2.469489151374325,0.465284019334825,0.0229672459996018,7.15995582981111e-05,0.00394768598766144,0.505279167885208,0.00150622074204221,0.000944060492368065,0.00203866483973718,0.0075332547734391,0.000325788325919237
2.716438066511757,0.461117727022901,0.0265665826207502,8.02340878869514e-05,0.00452642349367923,0.505233686251275,0.00150766354546801,0.000967682978043913,0.00211003078715286,0.008296288170900491,0.000289726267575362
2.96338698164919,0.456361662511069,0.0306418193235486,9.026197499316699e-05,0.00519616632885882,0.505214163176792,0.00150928368923283,0.0009866429955097131,0.00217520555008529,0.00906238057185014,0.000264600278667184
3.210335896786622,0.4509376357129,0.0352548014948609,0.00010186153721978,0.00596834192647585,0.505224606317353,0.00151110934867508,0.00100164366251945,0.002236144774449,0.00983199326095884,0.000247411916249695
3.457284811924055,0.444763192211155,0.0404700707565873,0.000115233222186281,0.00685579928732351,0.505269525972286,0.00151317229836448,0.00101300625210041,0.00229406613329904,0.0106056488191299,0.000235165959188614
3.704233727061487,0.43775238049025,0.0463539554355295,0.000130600035357864,0.007872818073389579,0.505353994126492,0.00151550833675029,0.00102074350223431,0.00234958135631252,0.0113839386175435,0.0002254027327511
3.95118264219892,0.429817012298134,0.0529731352782725,0.000148207472885599,0.009035082335660629,0.505483703110661,0.00151815771423676,0.00102470179015293,0.00240298301523342,0.0121675305681069,0.000216826643637111
4.198131557336353,0.420868606705981,0.0603925803789131,0.000168322732299736,0.0103596031277373,0.505665022083483,0.00152116555311987,0.00102469941846874,0.00245453730056911,0.0129571769569857,0.000209330723330088
4.445080472473784,0.410821202941449,0.06867276931112359,0.000191232938662286,0.0118645719864567,0.505905048838677,0.00152458224316783,0.00102059174046705,0.00250462610660954,0.0137537221192074,0.000203384921648611
4.692029387611218,0.399595125781023,0.07786611274211309,0.000217242094789847,0.0135691254752346,0.50621165365502,0.00152846379136453,0.0010122764604584,0.00255375665968967,0.014558109671755,0.000199498327517093
4.93897830274865,0.387121712706099,0.0880125528555448,0.000246666449342377,0.0154930002481013,0.50659351107073,0.00153287209865792,0.000999684571527793,0.00260253436482439,0.0153713889476048,0.000198069812416475
5.185927217886083,0.373348961614553,0.0991343823069947,0.000279827986399246,0.0176560591375246,0.507060114633505,0.00153787513082743,0.000982779190199147,0.00265164947700315,0.0161947201699832,0.000199444157426381
5.432876133023514,0.358247966848075,0.111230434124062,0.000317045787230355,0.020077672474409,0.507621768946513,0.00154354694540115,0.0009615648743125131,0.00270188685135395,0.0170293778120267,0.000204005773545917
5.679825048160947,0.341819867554882,0.124269936629759,0.000358625112808281,0.0227759461397737,0.508289552828326,0.00154996753274371,0.000936104201710143,0.00275415623972498,0.0178767515165152,0.000212262155952253
5.92677396329838,0.324102845956919,0.138186498175847,0.00040484421609747,0.0257667995192753,0.509075247296687,0.00155722242808376,0.000906542407093435,0.00280955485700172,0.0187383439165282,0.000224974965435137
6.173722878435813,0.30517851912561,0.152872867111905,0.000455939122740249,0.0290629129725447,0.50999122256189,0.00156540205360253,0.000873137051709904,0.00286947000474754,0.0196157647105348,0.000243322766675883
6.420671793573245,0.285176883104475,0.168177271164527,0.000512086913400977,0.0326725852667875,0.511050279465747,0.00157460075704017,0.000836293328024529,0.00293574988517285,0.0205107204344167,0.000269178067807273
6.667620708710677,0.264278855301938,0.183902232146678,0.000573388380860247,0.0365985651527412,0.512265442977528,0.00158491552664001,0.000796600513617309,0.00301097110649824,0.021424999550447,0.000305500200023049
6.91456962384811,0.242715469942405,0.199806723827969,0.00063985128027916,0.0408369449747642,0.5136497085184289,0.00159644438212649,0.000754857074030412,0.00309881803100693,0.0223604527563994,0.000356789882285109
