,time,s,e,i_s,i_a,r,d,v,x_vac,y_inc,x_super_zero
1547,408.57142857142856,0.4516492299606127,0.006742787772170783,0.001918357529134053,0.007329706966599563,0.27483593732265743,0.048301847999047264,0.20922213245965046,0.33828780481614185,0.17656530228586836,0.37844101392821805
1548,408.83553421368543,0.45162628447487624,0.006726722229353431,0.0019138301463805121,0.007312225486437961,0.2747589324289191,0.048343512938693434,0.20931849230521166,0.33847350047493485,0.17660760924889682,0.3787807754954741
1549,409.09963985594237,0.4516039735184941,0.006710701775325478,0.0019093126727251423,0.00729478684789307,0.27468127101509715,0.04838508056221662,0.20941487361812072,0.3386591627417212,0.17664981673080254,0.3791197434815525
1550,409.36374549819925,0.4515822970914663,0.006694726410086932,0.0019048051081679456,0.0072773910509648975,0.2746029530811917,0.04842655086961678,0.2095112763983777,0.3388447916165008,0.17669192473158538,0.3794579178864529
1551,409.6278511404562,0.4515612551937929,0.0066787961336377865,0.00190030745270892,0.007260038095653435,0.27452397862720274,0.04846792386089394,0.20960770064598253,0.3390303870992736,0.17673393325124548,0.37979529871017564
1552,409.89195678271307,0.4515408478254739,0.006662910945978049,0.0018958197063480675,0.007242727981958691,0.27444434765313025,0.04850919953604809,0.20970414636093523,0.3392159491900396,0.1767758422897827,0.3801318859527205
1553,410.15606242496995,0.4515210749865092,0.0066470708471077136,0.001891341869085387,0.00722546070988066,0.2743640601589742,0.04855037789507923,0.20980061354323587,0.3394014778887988,0.17681765184719714,0.38046767961408756
1554,410.4201680672269,0.4515019366768989,0.006631275837026779,0.0018868739409208775,0.00720823627941934,0.27428311614473466,0.04859145893798737,0.20989710219288435,0.33958697319555137,0.17685936192348878,0.3808026796942769
1555,410.68427370948376,0.451483432896643,0.006615525915735251,0.0018824159218545414,0.007191054690574739,0.27420151561041156,0.0486324426647725,0.2099936123098807,0.33977243511029703,0.17690097251865758,0.38113688619328834
1556,410.9483793517407,0.4514655636457414,0.006599821083233125,0.0018779678118863762,0.007173915943346848,0.2741192585560049,0.04867332907543463,0.21009014389422495,0.33995786363303604,0.1769424836327036,0.3814702991111221
1557,411.2124849939976,0.45144832892419423,0.0065841613395204055,0.0018735296110163843,0.007156820037735676,0.27403634498151475,0.048714118169973744,0.21018669694591707,0.3401432587637683,0.1769838952656268,0.381802918447778
1558,411.4765906362545,0.45143172873200144,0.006568546684597085,0.0018691013192445633,0.007139766973741213,0.27395277488694103,0.04875480994838986,0.2102832714649571,0.34032862050249374,0.1770252074174272,0.3821347442032561
1559,411.7406962785114,0.4514155636097303,0.006552974183736615,0.0018646840404446853,0.007122759130766262,0.27386872766473364,0.04879541905149662,0.2103798723289642,0.3405139497260616,0.17706643764929103,0.3824658957904499
1560,412.0048019207683,0.451398380581759,0.006537422458726464,0.001860285815859303,0.0071058138417301395,0.27378551011123087,0.04883605213128355,0.21047653506928293,0.3406992528219385,0.17710771388685753,0.38279724308059443
1561,412.2689075630252,0.45138176402929925,0.006521914821202254,0.0018558978770043285,0.0070889122061424965,0.27370169724480553,0.04887659289026718,0.21057322094115125,0.34088452282498216,0.17714889663502692,0.3831278375322135
1562,412.5330132052821,0.45136571395235087,0.00650645127116399,0.001851520223879763,0.0070720542240033405,0.2736172890654577,0.0489170413284475,0.21066992994456915,0.3410697597351924,0.1771899858937992,0.38345767914530693
1563,412.797118847539,0.45135023035091404,0.006491031808611667,0.001847152856485605,0.007055239895312664,0.2735322855731872,0.04895739744582451,0.2107666620795367,0.3412549635525693,0.17723098166317436,0.38378676791987476
1564,413.0612244897959,0.45133531322498854,0.00647565643354529,0.0018427957748218561,0.0070384692200704735,0.27344668676799416,0.048997661242398204,0.2108634173460538,0.34144013427711273,0.1772718839431524,0.38411510385591696
1565,413.3253301320528,0.45132096257457455,0.006460325145964858,0.001838448978888516,0.007021742198276767,0.27336049264987855,0.049037832718168584,0.21096019574412053,0.34162527190882286,0.1773126927337333,0.38444268695343353
1566,413.5894357743097,0.45130717839967194,0.0064450379458703645,0.001834112468685583,0.007005058829931537,0.27327370321884037,0.04907791187313567,0.2110569972737369,0.3418103764476997,0.17735340803491711,0.3847695172124246
1567,413.8535414165666,0.45129396070028077,0.006429794833261819,0.0018297862442130592,0.006988419115034797,0.2731863184748796,0.049117898707299434,0.21115382193490284,0.3419954478937431,0.1773940298467038,0.38509559463289
1568,414.11764705882354,0.45128130947640105,0.006414595808139213,0.0018254703054709429,0.006971823053586535,0.27309833841799624,0.0491577932206599,0.2112506697276184,0.3421804862469532,0.17743455816909337,0.38542091921482985
1569,414.3817527010804,0.45126922472803277,0.006399440870502555,0.0018211646524592358,0.006955270645586759,0.2730097630481904,0.04919759541321705,0.2113475406518836,0.3423654915073298,0.17747499300208583,0.385745490958244
1570,414.6458583433373,0.45125770645517593,0.00638433002035184,0.0018168692851779375,0.0069387618910354675,0.2729205923654619,0.049237305284970875,0.21144443470769836,0.3425504636748731,0.17751533434568117,0.38606930986313265
1571,414.90996398559423,0.45124675465783054,0.006369263257687065,0.0018125842036270463,0.006922296789932654,0.2728308263698108,0.04927692283592141,0.21154135189506276,0.3427354027495831,0.1775555821998794,0.3863923759294957
1572,415.1740696278511,0.4512363693359966,0.006354240582508237,0.0018083094078065643,0.006905875342278328,0.2727404650612373,0.04931644806606863,0.21163829221397673,0.3429203087314596,0.17759573656468053,0.3867146891573331
1573,415.43817527010805,0.4512265504896741,0.00633926199481535,0.0018040448977164898,0.00688949754807248,0.27264950843974106,0.04935588097541255,0.21173525566444035,0.3431051816205029,0.17763579744008454,0.387036249546645
