,time,s,e,i_s,i_a,r,d,v,x_vac,y_inc,x_zero,u_V
0,0.0,0.46360604745375,0.000670331443876397,9.28314438742531e-05,0.00120986144387647,0.532520195443878,0.00190074144387719,0.0,0.0,0.12258164,0.0,-0.000602454447229048
1,0.12000000000000001,0.463944180409007,0.000673305647375823,9.37132239055456e-05,0.00119953100089729,0.532187928835166,0.00190085550673758,4.85232299448819e-07,1.05533862975796e-06,0.12258355744891,0.0,-0.000608878656227373
2,0.24000000000000002,0.464282559115791,0.000676100251315792,9.4593302115529e-05,0.00118946507984794,0.531855688855646,0.00190097049489267,6.22884630901479e-07,1.35130876918269e-06,0.122585483130447,0.0,-0.000609611822004156
3,0.36,0.464620863628134,0.000678722961054301,9.54713323242729e-05,0.00117965495065328,0.531523480828668,0.00190108654006179,7.197573866639e-07,1.55947426178948e-06,0.122587416542832,0.0,-0.000609938025599417
4,0.48000000000000004,0.464959068037079,0.000681181059138284,9.634687417711e-05,0.00117009209215774,0.531191309779004,0.00190120365408043,7.9850417607803e-07,1.72857325160877e-06,0.12258935720583,0.0,-0.000610126283086244
5,0.6,0.4652971615091,0.000683481527778118,9.72194994283342e-05,0.00116076828592885,0.530859180542744,0.00190132183524042,8.66799759574255e-07,1.8751262918238e-06,0.122591304659583,0.0,-0.000610249444917214
6,0.72,0.465635137379732,0.000685631071786938,9.8088802569544e-05,0.00115167561580172,0.530527097785115,0.0019014410799063,9.28265086103804e-07,2.00692929940207e-06,0.122593258463766,0.0,-0.000610336118740072
7,0.84,0.465972990689122,0.000687636130627405,9.89544010704027e-05,0.00114280645755881,0.530195066008035,0.00190156138380674,9.84929779368079e-07,2.12835211290817e-06,0.122595218196811,0.0,-0.0006104000035834
8,0.9600000000000001,0.466310717348544,0.000689502888872478,9.98159345243511e-05,0.00113415346793083,0.52986308955634,0.0019016827422001,1.03806158855699e-06,2.24212396220885e-06,0.122597183455168,0.0,-0.000610448540291588
9,1.08,0.466648313788188,0.00069123728612688,0.000100673063709739,0.00112570957390322,0.529531172623653,0.0019018051499157,1.08851450381771e-06,2.35008295436707e-06,0.122599153852584,0.0,-0.000610486140236389
