,time,s,e,i_s,i_a,r,d,v,x_vac,y_inc,x_zero,u_V
0,0.0,0.463606046849066,0.000670330818777027,9.28307945585041e-05,0.00120986082375119,0.532520194839483,0.00190074083885037,0.0,0.0,0.122581640000008,0.0,0.00279138486101059
1,0.16797214122161283,0.463815044712989,0.000674438947880948,9.40644487316075e-05,0.00119547394859135,0.532055106349582,0.00190090067550275,0.000264970833763804,0.000570340007796724,0.122584326246092,0.0,0.00270131493521318
2,0.33594428244322566,0.464030855355848,0.000678191365921041,9.52945646002953e-05,0.0011815984171859,0.531590074253727,0.00190106252809368,0.000522923505877581,0.00112544576783454,0.122587028194152,0.0,0.00263651687016485
3,0.5039164236648384,0.46425149931726,0.000681609139331264,9.65199084115661e-05,0.00116821026675774,0.531125112563789,0.00190122646973113,0.000775822333812969,0.00166955316102439,0.122589744465096,0.0,0.00257998217111181
4,0.6718885648864513,0.464476323034822,0.000684712057412658,9.77392748305066e-05,0.0011552867117695,0.530660234533797,0.00190139249970197,0.00102431188758859,0.00220405430151623,0.12259247376143,2.18704384832612e-09,0.00252749059805985
5,0.8398607061080641,0.464705002463396,0.000687518792929815,9.89515457886286e-05,0.00114280614038911,0.530195452757538,0.00190156060772894,0.00126870769223904,0.0027296332137293,0.122595214862586,4.66048760636704e-09,0.00247723815803809
6,1.0078328473296767,0.46493735476048,0.0006900469781235,0.000100155691626592,0.00113074805782326,0.529730779209261,0.00190173078089862,0.00150918452180578,0.00324667118461812,0.12259796662056,7.058119815489e-09,0.00242826913441637
7,1.1758049885512896,0.465173272146737,0.000692313266092408,0.000101350766441936,0.00111909302720402,0.529266225276734,0.00190190300452467,0.00174584251228512,0.00375538910372955,0.12260072795572,9.39272581526071e-09,0.00238001504362222
8,1.3437771297729026,0.465412691696975,0.000694333386402213,0.000102535903101143,0.00110782261315352,0.528801801791952,0.00190207726236236,0.00197873734607251,0.00425591245088929,0.122603497853164,1.16733409313119e-08,0.00233211612768265
9,1.5117492709945153,0.465655579044632,0.000696122196728538,0.00010371030847385,0.00109691932837858,0.528337519060137,0.0019022535367471,0.00220789652492212,0.00474830632669395,0.12260627535917,1.39066721263992e-08,0.002284338964342
10,1.6797214122161281,0.46590191850866,0.000697693731198402,0.000104873258931565,0.00108636658316712,0.527873386887176,0.00190243180871799,0.00243332922216783,0.00523259665213051,0.122609059577672,1.6097890810037e-08,0.00223653072246665
11,1.847693553437741,0.466151706787222,0.000699061245808245,0.000106024096100835,0.00107614863762324,0.527409414605594,0.00190261205813294,0.00265503256953721,0.00570878368842523,0.122611849667019,1.82511069142163e-08,0.00218859511368763
12,2.0156656946593534,0.466404948526214,0.000700237261182866,0.000107162222856847,0.00106625055648621,0.526945611099138,0.00190279426377698,0.00287299607036424,0.00617685151716126,0.122614644837228,2.03696681739762e-08,0.00214047553371265
13,2.1836378358809663,0.46666165320279,0.00070123360288025,0.000108287099543203,0.00105665816638839,0.526481984826043,0.00190297840346358,0.0030872046989108,0.00663677468932553,0.122617444346808,2.24563575181487e-08,0.00209213736776655
14,2.351609977102579,0.466921833391772,0.00070206143942606,0.000109398240405452,0.00104735801541736,0.526018543841062,0.00190316445412989,0.00329764061780599,0.00708852190856588,0.122620247500298,2.45135280784408e-08,0.00204356301671795
15,2.519582118324192,0.467185503420277,0.000702731318233149,0.000110495210226131,0.00103833733485546,0.52555529581632,0.00190335239192598,0.00350428450818039,0.00753205887843611,0.122623053645574,2.6543198420237e-08,0.00199475983034406
16,2.6875542595458053,0.467452677398536,0.000703253199517476,0.000111577621150188,0.0010295840029777,0.52509224806105,0.00190354219229845,0.00370711752448911,0.00796735247074459,0.122625862171394,2.85471215196922e-08,0.00194576531215081
17,2.8555264007674177,0.467723366839243,0.000703636488301682,0.000112645129690054,0.00102108651079506,0.524629407540283,0.00190373383006893,0.00390612366163608,0.00839437575777477,0.122628672505435,3.052683589175e-08,0.00189664347308278
18,3.0234985419890306,0.467997578559308,0.000703890064608275,0.000113697433900138,0.0010128339296359,0.524166780892545,0.00190392727950744,0.00410129184051362,0.00881311242986874,0.122631484111537,3.2483704264915e-08,0.00184747729814589
19,3.1914706832106434,0.468275313169827,0.000704022311956051,0.000114734270711318,0.0010048158804646,0.5237043744466,0.00190412251440118,0.00429261740605803,0.00922355995080898,0.122634296488381,3.44189433667618e-08,0.00179836247529491
20,3.3594428244322563,0.468556564056231,0.000704041144269912,0.000115755413416214,0.000997022504842202,0.523242194237319,0.0019043195081187,0.00448010313582129,0.00962573166368003,0.122637109166982,3.63336472339775e-08,0.00174940352758239
21,3.5274149656538687,0.468841316660563,0.000703954031303543,0.000116760669297068,0.000989444437439725,0.52278024602069,0.00190451823367006,0.00466375994705528,0.0100196582498149,0.12263992170928,3.82288057186516e-08,0.00170071133573491
22,3.695387106875482,0.469129547957051,0.000703768022663699,0.000117749877388475,0.000982072780020164,0.522318535288038,0.0019047186637632,0.00484360741109297,0.0104053887737689,0.122642733705899,4.01053193720319e-08,0.00165240093097907
23,3.8633592480970944,0.469421226100116,0.000703489770516793,0.0001187229063667,0.000974899076808817,0.521857067279491,0.00190492077085612,0.00501967409586195,0.0107829913600254,0.122645544775168,4.19640115556273e-08,0.00160458905022763
24,4.031331389318707,0.469716310263944,0.000703125551055922,0.000119679652559706,0.000967915291178055,0.52139584699672,0.00190512452720608,0.00519199771735341,0.0111525534623252,0.122648354561105,4.38056384012907e-08,0.0015573914444355
